members,category,description
mark,unit,เป็นสมาชิกของ nct dream 
mark,unit,เป็นสมาชิกของ nct 127
mark,unit,เป็นสมาชิกของ nct u
mark,unit,เป็นสมาชิกของ nct 
mark,position,เป็นลีดเดอร์ของ nct dream
mark,position,เป็นแร็ปเปอร์ ไอดอล นักร้อง-นักแต่งเพลงชาวเกาหลี
mark,infomation,เกิดวันที่ 2 สิงหาคม 1999
mark,infomation,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
mark,infomation,ผ่านการออดิชั่น “SM Global Audition” ที่แวนคูเวอร์ ประเทศแคนาดา
mark,infomation,ชื่อจริง :  มาร์ค ลี  (Mark Lee)
mark,infomation,ชื่อเกาหลี : อี มินฮยอง (Lee Min Hyung) (이민형)
mark,infomation,บ้านเกิด : แวนคูเวอร์  ประเทศแคนาดา
mark,infomation,สัญชาติ : เกาหลีใต้-แคนาดา
mark,infomation,การศึกษา : จบจาก School of Performing Arts high school (SOPA)
mark,favourite,วงดนตรีที่ชอบคือ Coldpaly
mark,infomation,มี solo ซิงเกิลเพลงแรกคือ Child
mark,favourite,Watermelon Lover
renjun,unit,เป็นสมาชิกของ nct dream 
renjun,infomation,บ้านเกิด : มณฑลจี๋หลิน ประเทศจีน
renjun,infomation,เกิดวันที่ 23 มีนาคม 2000 
renjun,favourite,การ์ตูนที่ชอบ : มูมิน
renjun,favourite,"อาหารที่ชอบ : หม้อไฟ ,ไก่, หม่าล่าทัง"
renjun,unfavourite,ผักที่ไม่ชอบกิน : ผักชี
renjun,infomation,มีปานดำที่หลังมือขวา
renjun,unit,เป็นสมาชิกของ nct 
renjun,unit,เป็นสมาชิกของ nct u
renjun,infomation,ผ่านการออดิชั่นกับทาง SM Global Audition  ที่เมืองเสิ่นหยาง
renjun,infomation,เข้าบริษัท SM ในปี 2015
renjun,infomation,ชื่อเกาหลี: ฮวังอินจุน
renjun,infomation,ชื่อภาษาจีน: หวงเหรินจวิ้น 
renjun,favourite,ชอบวาดรูป
renjun,favourite,ชอบ Ariana Grande
renjun,unit,"เดบิวต์วันที่ 25 สิงหาคม 2016 กับ nct dream ด้วยซิงเกิ้ลแรก ""Chewing Gum"""
renjun,unit,ตำแหน่ง : นักร้องหลัก
jeno,unit,เป็นสมาชิกของ nct dream 
